Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_228,2018-02-19,NH4+PO4,R1,0.502,G_62,96,T18,Ac_228_T18,Heat,Symbiodinium
Ac,Ac_229,2018-02-19,NH4+PO4,R2,0.546,G_62,96,T18,Ac_229_T18,Heat,Symbiodinium
Ac,Ac_162,2018-02-22,Ambient,R1,0.502,G_07,99,T19,Ac_162_T19,Heat,Symbiodinium
Ac,Ac_166,2018-02-22,Ambient,R2,0.49,G_07,99,T19,Ac_166_T19,Heat,Symbiodinium
Ac,Ac_169,2018-02-22,Ambient,R1,0.515,G_07,99,T19,Ac_169_T19,Heat,Symbiodinium
Ac,Ac_173,2018-02-22,Ambient,R2,0.495,G_07,99,T19,Ac_173_T19,Heat,Symbiodinium
Ac,Ac_261,2018-02-22,Ambient,R1,0.533,G_07,99,T19,Ac_261_T19,Heat,Symbiodinium
Ac,Ac_264,2018-02-22,Ambient,R2,0.522,G_07,99,T19,Ac_264_T19,Heat,Symbiodinium
Ac,Ac_273,2018-02-22,Ambient,R1,0.508,G_07,99,T19,Ac_273_T19,Heat,Symbiodinium
Ac,Ac_143,2018-02-22,Ambient,R1,0.541,G_08,99,T19,Ac_143_T19,Heat,Symbiodinium
Ac,Ac_231,2018-02-22,Ambient,R2,0.528,G_08,99,T19,Ac_231_T19,Heat,Symbiodinium
Ac,Ac_152,2018-02-22,Ambient,R2,0.512,G_31,99,T19,Ac_152_T19,Heat,Symbiodinium
Ac,Ac_157,2018-02-22,Ambient,R1,0.511,G_31,99,T19,Ac_157_T19,Heat,Symbiodinium
Ac,Ac_160,2018-02-22,Ambient,R2,0.518,G_31,99,T19,Ac_160_T19,Heat,Symbiodinium
Ac,Ac_248,2018-02-22,Ambient,R1,0.556,G_31,99,T19,Ac_248_T19,Heat,Symbiodinium
Ac,Ac_176,2018-02-22,Ambient,R1,0.54,G_48,99,T19,Ac_176_T19,Heat,Symbiodinium
Ac,Ac_179,2018-02-22,Ambient,R2,0.565,G_48,99,T19,Ac_179_T19,Heat,Symbiodinium
Ac,Ac_182,2018-02-22,Ambient,R1,0.558,G_48,99,T19,Ac_182_T19,Heat,Symbiodinium
Ac,Ac_186,2018-02-22,Ambient,R2,0.547,G_48,99,T19,Ac_186_T19,Heat,Symbiodinium
Ac,Ac_277,2018-02-22,Ambient,R2,0.559,G_48,99,T19,Ac_277_T19,Heat,Symbiodinium
Ac,Ac_281,2018-02-22,Ambient,R1,0.553,G_48,99,T19,Ac_281_T19,Heat,Symbiodinium
Ac,Ac_284,2018-02-22,Ambient,R2,0.553,G_48,99,T19,Ac_284_T19,Heat,Symbiodinium
Ac,Ac_287,2018-02-22,Ambient,R1,0.557,G_48,99,T19,Ac_287_T19,Heat,Symbiodinium
Ac,Ac_102,2018-02-22,Ambient,R2,0.556,G_50,99,T19,Ac_102_T19,Heat,Symbiodinium
Ac,Ac_105,2018-02-22,Ambient,R1,0.558,G_50,99,T19,Ac_105_T19,Heat,Symbiodinium
Ac,Ac_108,2018-02-22,Ambient,R2,0.547,G_50,99,T19,Ac_108_T19,Heat,Symbiodinium
Ac,Ac_204,2018-02-22,Ambient,R1,0.563,G_50,99,T19,Ac_204_T19,Heat,Symbiodinium
Ac,Ac_116,2018-02-22,Ambient,R1,0.565,G_62,99,T19,Ac_116_T19,Heat,Symbiodinium
Ac,Ac_119,2018-02-22,Ambient,R2,0.543,G_62,99,T19,Ac_119_T19,Heat,Symbiodinium
Ac,Ac_122,2018-02-22,Ambient,R1,0.531,G_62,99,T19,Ac_122_T19,Heat,Symbiodinium
Ac,Ac_125,2018-02-22,Ambient,R2,0.533,G_62,99,T19,Ac_125_T19,Heat,Symbiodinium
Ac,Ac_217,2018-02-22,Ambient,R2,0.531,G_62,99,T19,Ac_217_T19,Heat,Symbiodinium
Ac,Ac_220,2018-02-22,Ambient,R1,0.54,G_62,99,T19,Ac_220_T19,Heat,Symbiodinium
Ac,Ac_226,2018-02-22,Ambient,R1,0.481,G_62,99,T19,Ac_226_T19,Heat,Symbiodinium
Ac,Ac_249,2018-02-22,NH4,R1,0.444,G_31,99,T19,Ac_249_T19,Heat,Symbiodinium
Ac,Ac_299,2018-02-22,NH4,R2,0.374,G_31,99,T19,Ac_299_T19,Heat,Symbiodinium
Ac,Ac_177,2018-02-22,NH4,R1,0.469,G_48,99,T19,Ac_177_T19,Heat,Symbiodinium
