Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Ss_22-32_T5,0.035824364585735,-1.44582150391335,0.977899894539437,D,Ss_22-32_T5
Ss_22-35_T5,0.045403056045739,-1.34291491412235,0.973832704794186,D,Ss_22-35_T5
Ss_22-39_T5,0.457116909169053,-0.339972713466764,1,D,Ss_22-39_T5
Ss_23-75_T5,0.249881382291832,-0.602266100292629,1,D,Ss_23-75_T5
Ss_23-79_T5,0.487511994123119,-0.312014695006659,1,D,Ss_23-79_T5
Ss_27-57_T5,0.069597397777396,-1.15740699820617,1,D,Ss_27-57_T5
Ss_27-85_T5,0.062728020682073,-1.20253841596044,1,D,Ss_27-85_T5
Ss_27-94_T5,0.065819741694882,-1.18164382639758,1,D,Ss_27-94_T5
Ss_28-11_T5,0.092256514333403,-1.0350029580777,0.77889941834413,D,Ss_28-11_T5
Ss_28-15_T5,0.1248399474382,-0.903646422859193,0.676414795223536,D,Ss_28-15_T5
Ss_28-20_T5,0.048521448196059,-1.31406624543591,0.178186453658377,C1,Ss_28-20_T5
Ss_28-29_T5,0.083717827486026,-1.0771820503175,0.411884312207764,C1,Ss_28-29_T5
Ss_24-16_T5,0.335997872147449,-0.47366347296,0.011852104876692,C3,Ss_24-16_T5
Ss_24-19_T5,0.344294500694753,-0.463069914085907,0.050928911933036,C3,Ss_24-19_T5
Ss_24-23_T5,0.369090306791428,-0.432867360283272,0.009127021643572,C3,Ss_24-23_T5
Ss_30-15_T5,0.044476377005126,-1.35187059711767,0,C3,Ss_30-15_T5
Ss_30-20_T5,0.02042804653695,-1.68977316145299,0,C3,Ss_30-20_T5
Ss_30-23_T5,0.031491424509083,-1.50180769368414,0,C3,Ss_30-23_T5
Ss_30-26_T5,0.018865144373276,-1.72433986683314,0,C3,Ss_30-26_T5
Ss_20-26_T5,0.019619385325716,-1.70731460316562,0,C1,Ss_20-26_T5
Ss_20-32_T5,0.018806449688597,-1.72569318351297,0,C1,Ss_20-32_T5
Ss_20-38_T5,0.013907717668909,-1.85674413421537,0,C1,Ss_20-38_T5
Ss_20-45_T5,0.006037988203305,-2.21910773981317,0,C1,Ss_20-45_T5
Ss_22-11_T5,0.021369845632501,-1.67019861499996,1,D,Ss_22-11_T5
Ss_22-17_T5,0.01154446410159,-1.93762622239377,1,D,Ss_22-17_T5
Ss_22-24_T5,0.016000489534109,-1.79586672992469,1,D,Ss_22-24_T5
Ss_22-3_T5,0.02495116634047,-1.60290914850187,1,D,Ss_22-3_T5
Ss_23-55_T5,0.016934183650356,-1.77123573463737,1,D,Ss_23-55_T5
Ss_23-58_T5,0.028190777063512,-1.54989295287107,1,D,Ss_23-58_T5
Ss_23-61_T5,0.01833891539261,-1.73662635312255,0.976487054647447,D,Ss_23-61_T5
Ss_23-66_T5,0.012314434594683,-1.90958552357691,1,D,Ss_23-66_T5
Ss_27-12_T5,0.022243770453089,-1.65279159531925,0.996412547001298,D,Ss_27-12_T5
Ss_27-21_T5,0.007536622208091,-2.12282325427228,0.872237114973807,D,Ss_27-21_T5
Ss_27-45_T5,0.007300247673216,-2.13666240545673,0.994937127451451,D,Ss_27-45_T5
Ss_27-5_T5,0.009526926129272,-2.02104720224058,0.974065882537129,D,Ss_27-5_T5
Ss_28-3_T5,0.024854502602463,-1.60459492370048,0.925677348445267,D,Ss_28-3_T5
Ss_28-6_T5,0.009878834930089,-2.00529427133028,0.532743284429017,D,Ss_28-6_T5
Ss_28-9_T5,0.184878579580648,-0.733113404194116,0.950851848713644,D,Ss_28-9_T5
Ss_24-10_T5,0.021202152678521,-1.6736200424231,0.077646125384613,C3,Ss_24-10_T5
Ss_24-14_T5,0.01335624635299,-1.87431557907877,0.025134908209417,C3,Ss_24-14_T5
Ss_24-3_T5,0.017549687420077,-1.75573061440868,0.009940376156642,C3,Ss_24-3_T5
Ss_24-7_T5,0.016081083074908,-1.79368470449206,0.034948086407596,C3,Ss_24-7_T5
Ss_30-13_T5,0.017479747970887,-1.75746483346603,0,C3,Ss_30-13_T5
Ss_30-2_T5,0.009708989042101,-2.01282598907189,0,C3,Ss_30-2_T5
Ss_30-5_T5,0.014962948483336,-1.82498281931443,0,C3,Ss_30-5_T5
Ss_30-9_T5,0.016166023476313,-1.7913967948542,0,C3,Ss_30-9_T5
Ss_20-15_T5,0.006397815970639,-2.19396825629401,0.013456725594282,C1,Ss_20-15_T5
Ss_20-2_T5,0.078507894938634,-1.1050866673837,0,C1,Ss_20-2_T5
Ss_20-22_T5,0.002791280051131,-2.55419658824826,0,C1,Ss_20-22_T5
Ss_20-8_T5,0.005489558784013,-2.26046255998866,0,C1,Ss_20-8_T5
